tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt2338027,movie,Judas Ghost,Judas Ghost,0,2013,\N,75,"Fantasy,Horror",4.7,688
tt2338163,movie,Psoro,Psoro,0,2012,\N,\N,Horror,7.6,23
tt2338323,movie,The Legend of Cooley Moon,The Legend of Cooley Moon,0,2012,\N,83,"Horror,Mystery,Sci-Fi",5.0,32
tt2338708,movie,MurderDrome,MurderDrome,0,2013,\N,73,"Action,Horror,Sport",4.1,187
tt2339172,movie,The Four,The Four,0,2012,\N,85,"Action,Horror,Thriller",4.0,58
tt23392058,movie,Misfire,Misfire,0,2022,\N,117,Horror,8.4,6
tt2339741,movie,The Woman in Black 2: Angel of Death,The Woman in Black 2: Angel of Death,0,2014,\N,98,"Drama,Horror,Thriller",4.8,30030
tt2340426,movie,Ixtab,Ixtab,0,2011,\N,80,Horror,3.2,50
tt2340444,movie,Ashburn Waters,Ashburn Waters,0,2019,\N,81,"Horror,Thriller",3.6,143
tt2340554,movie,Bayou Tales,Bayou Tales,0,2019,\N,\N,Horror,5.5,31
tt2340888,movie,Survivors,Survivors,0,2015,\N,92,"Drama,Horror,Thriller",4.0,186
tt2341664,movie,Come Out and Play,Come Out and Play,0,2012,\N,87,Horror,4.7,3466
tt2342808,movie,Athena,Athena,0,2015,\N,98,"Drama,Horror,Thriller",5.9,71
tt2343086,movie,Deadly Presence,Deadly Presence,0,2012,\N,90,Horror,2.7,178
tt2343238,movie,Kakek Cangkul,Kakek Cangkul,0,2012,\N,76,"Comedy,Horror",5.5,49
tt2343475,movie,Nightmare,Nightmare - painajainen merellä,0,2012,\N,74,"Horror,Thriller",2.7,939
tt2343775,movie,The Ripping,The Ripping,0,2012,\N,75,Horror,5.1,16
tt2343805,movie,Black Ghosts,Trans Somnium,0,2015,\N,98,"Horror,Mystery",5.0,114
tt2344508,movie,Night of the Living 3D Dead,Night of the Living 3D Dead,0,2013,\N,96,Horror,5.1,334
tt2344840,movie,H2-Oh!,Narm Pee Nong Sayong Kwan,0,2010,\N,\N,"Comedy,Horror",5.5,174
tt2345567,movie,Haunter,Haunter,0,2013,\N,97,"Fantasy,Horror,Mystery",5.9,19241
tt2345613,movie,Leprechaun: Origins,Leprechaun: Origins,0,2014,\N,90,"Fantasy,Horror",3.2,6771
tt2345695,movie,Roadside Massacre,Roadside Massacre,0,2012,\N,83,Horror,2.4,514
tt2345721,movie,Breaking at the Edge,Breaking at the Edge,0,2013,\N,86,"Horror,Thriller",4.3,1123
tt2346034,movie,The WitcHunt,The WitcHunt,0,2012,\N,45,"Horror,Music,Thriller",8.0,30
tt2346094,movie,Girls on a Boat,Girls on a Boat,0,2012,\N,60,Horror,8.3,16
tt2346170,movie,#1 Serial Killer,#1 Serial Killer,0,2013,\N,87,Horror,5.5,77
tt23462726,movie,Ghost,Ghost,0,2023,\N,85,"Action,Horror",6.4,96
tt23468450,movie,Longlegs,Longlegs,0,2024,\N,101,"Crime,Horror,Thriller",6.6,174477
tt2347495,movie,Shakespeare Tong Tai,Shakespeare Tong Tai,0,2012,\N,172,"Drama,Horror",7.9,27
tt2347497,movie,Silent Night,Silent Night,0,2012,\N,94,"Comedy,Horror,Mystery",5.2,9973
tt2347888,movie,Truckstop Bloodsuckers,Truckstop Bloodsuckers,0,2012,\N,75,"Comedy,Horror",5.0,51
tt2348394,movie,Home Sweet Home,Home Sweet Home,0,2013,\N,80,"Horror,Mystery,Thriller",4.7,1944
tt2348434,movie,Greenwood Manor,Greenwood Manor,0,2012,\N,\N,Horror,6.9,13
tt2348974,movie,Amarillo,Amarillo,0,2011,\N,76,Horror,7.4,14
tt2349554,movie,The Butcher,The Butcher,0,2007,\N,75,Horror,4.5,467
tt2349693,movie,The Vampire Partner,Gui gan chuan,0,1988,\N,\N,"Comedy,Horror",3.4,9
tt2349731,movie,Lockdown: Red Moon Escape,Lockdown: Red Moon Escape,0,2012,\N,60,"Action,Drama,Horror",6.8,43
tt2349805,movie,Skum Quixote,Skum Quixote,0,2012,\N,\N,"Adventure,Comedy,Horror",6.0,10
tt2350086,movie,PMS Cop,PMS Cop,0,2014,\N,92,Horror,3.9,177
tt2350852,movie,Raised by Wolves,Raised by Wolves,0,2014,\N,76,Horror,3.8,422
tt2350984,movie,Guniguni,Guniguni,0,2012,\N,104,Horror,4.3,69
tt2351177,movie,Bhooter Bhabishyat,Bhooter Bhabishyat,0,2012,\N,123,"Comedy,Fantasy,Horror",8.1,4422
tt2351392,movie,Beyond the Call to Duty,Beyond the Call to Duty,0,2016,\N,103,"Action,Drama,Horror",1.6,1056
tt2352722,movie,I Am Alone,I Am Alone,0,2015,\N,88,"Drama,Horror,Sci-Fi",4.5,364
tt2352892,movie,Wasteland,Wasteland,0,2013,\N,92,"Drama,Horror",3.3,456
tt2354124,movie,Rumah Bekas Kuburan,Rumah Bekas Kuburan,0,2012,\N,79,Horror,3.1,15
tt2354141,movie,Kotsutsubo,Kotsutsubo,0,2012,\N,82,Horror,4.9,98
tt2354365,movie,Splash Area,Splash Area,0,2012,\N,90,"Comedy,Horror",4.3,84
tt23551104,movie,Voices in the Vineyard,Voices in the Vineyard,0,2022,\N,45,"Drama,Horror,Mystery",2.5,13
tt23551572,movie,Se fondre,Se fondre,0,2023,\N,111,"History,Horror,Sci-Fi",5.0,22
tt23553640,movie,Operation Blood Hunt,Operation Blood Hunt,0,2024,\N,93,"Action,Adventure,Horror",3.4,430
tt23554012,movie,La ermita,La ermita,0,2023,\N,103,Horror,4.5,341
tt2355462,movie,Cool as Hell,Cool as Hell,0,2013,\N,100,"Action,Comedy,Horror",3.7,139
